Team,Att,Dif,i1,i2,Pred_Att,Pred_Dif,Home_Adv
Atalanta,-0.012893827962795142,-0.008404700380400096,-0.02209369816947991,-0.09115019013110338,-0.02209369816947991,-0.09115019013110338,0.3917771531211016
Bari,0.004367561060337742,-0.003479739587058331,-0.03457615467552336,0.025941643627183465,-0.03457615467552336,0.025941643627183465,0.3917771531211016
Bologna,0.008765363580865786,0.007966239263793544,-0.15078253558624966,-0.13427700164794706,-0.15078253558624966,-0.13427700164794706,0.3917771531211016
Cagliari,0.009310625875785518,-0.003455107200713514,-0.02680638313055098,-0.0871791459821778,-0.02680638313055098,-0.0871791459821778,0.3917771531211016
Catania,0.007531041676815195,0.012106358645763697,-0.180788914058165,-0.020186848489163408,-0.180788914058165,-0.020186848489163408,0.3917771531211016
Chievo,-0.00023107347515241683,0.0007098881007772985,-0.2550704591272864,0.04871893279013712,-0.2550704591272864,0.04871893279013712,0.3917771531211016
Fiorentina,0.019709978945789252,0.00725514387510897,0.03124380226901887,0.15955569068176376,0.03124380226901887,0.15955569068176376,0.3917771531211016
Genoa,0.0035181996866819544,-0.000924106517664429,0.019540370155180824,-0.07041574979756378,0.019540370155180824,-0.07041574979756378,0.3917771531211016
Inter,-0.003402263342103591,0.011141970089380046,0.3960370414084444,0.29230808798984675,0.3960370414084444,0.29230808798984675,0.3917771531211016
Juventus,-0.010362493460379459,0.01477904098109917,0.2781164625107875,0.062407984385095316,0.2781164625107875,0.062407984385095316,0.3917771531211016
Lazio,-0.0028819187360197103,-0.02115952884343061,-0.07551320277400503,0.02406179960257657,-0.07551320277400503,0.02406179960257657,0.3917771531211016
Livorno,0.009138800382872826,0.004143019766012076,-0.3222802804370737,-0.21428457494944048,-0.3222802804370737,-0.21428457494944048,0.3917771531211016
Milan,0.002221192999650771,0.017982735199970526,0.24011658069035807,0.2142559797277877,0.24011658069035807,0.2142559797277877,0.3917771531211016
Napoli,0.0032969998706710514,0.0004989801372776206,-0.01318311377325242,0.038868446039879025,-0.01318311377325242,0.038868446039879025,0.3917771531211016
Palermo,0.014220093456533972,-0.003626610276352251,0.150656090586528,-0.0754073757428808,0.150656090586528,-0.0754073757428808,0.3917771531211016
Parma,-0.014077444248822348,-0.012959037377356417,-0.17988697871513507,-0.15247451362969144,-0.17988697871513507,-0.15247451362969144,0.3917771531211016
Roma,0.003348401029523449,-0.018584329818341898,0.3553721879455255,0.07629010906201304,0.3553721879455255,0.07629010906201304,0.3917771531211016
Sampdoria,-0.018480026240287963,0.0038999443933329827,-0.03257316801941533,-0.015826738807027653,-0.03257316801941533,-0.015826738807027653,0.3917771531211016
Siena,-0.016589260521574806,-0.00851068521971969,-0.2405126762122,-0.07807747795605494,-0.2405126762122,-0.07807747795605494,0.3917771531211016
Udinese,0.005923588668196322,0.001003199066119692,0.06298502911249355,-0.0031290567732320364,0.06298502911249355,-0.0031290567732320364,0.3917771531211016
